Filename,Latency_sec
TC_14_GMN_01.log,N/A
TC_10_OA_VLM.log,383.64
TC_12_OA_VLM.log,596.62
TC_05_GMN_VLM.log,118.97
TC_01_OA_VLM.log,24.07
TC_10_GMN_YOLO.log,425.79
TC_09_OA_YOLO.log,N/A
TC_14_OA_01.log,N/A
TC_11_YOLO_01.log,107.26
TC_04_GMN_YOLO.log,124.43
TC_06_GMN_VLM.log,185.93
TC_10_OA_YOLO_01.log,809.25
TC_12_OA_YOLO.log,40.54
TC_08_OA_YOLO.log,175.9
TC_12_OA_YOLO_01.log,25.97
TC_06_OA_VLM_01.log,N/A
TC_08_GMN_YOLO.log,200.59
coba_bawah.log,N/A
TC_07_GMN_VLM.log,180.95
TC_10_OA_YOLO.log,390.33
TC_06_OA_YOLO_01.log,N/A
TC_14_GMN_02.log,N/A
TC_02_GMN_YOLO.log,24.17
TC_13_GMN_02.log,N/A
TC_14_OA_02.log,N/A
TC_06_OA_VLM.log,122.88
TC_03_OI_YOLO.log,24.56
TC_09_OA_VLM.log,25.69
TC_09_GMN_VLM_01.log,30.41
TC_02_OA_VLM.log,24.49
TC_01_GMN_YOLO.log,24.2
TC_07_GMN_YOLO.log,102.32
TC_01_OA_YOLO.log,24.62
TC_07_GMN_YOLO_01.log,116.11
TC_11_YOLO_02.log,102.43
TC_13_GMN_01.log,N/A
TC_08_GMN_VLM.log,152.35
TC07_GMN_YOLO.log,N/A
TC_10_OA_VLM_01.log,N/A
TC_09_OA_YOLO_01.log,N/A
TC_12_GMN_VLM.log,204.17
TC_13_OA_01.log,N/A
TC_06_GMN_YOLO.log,N/A
TC_10_GMN_VLM.log,573.3
TC_07_OA_YOLO_01.log,108.42
TC_12_GMN_YOLO.log,299.3
TC_05_OA_VLM.log,25.35
TC_08_OA_VLM.log,139.15
TC_06_OA_YOLO.log,N/A
TC_09_GMN_VLM.log,258.26
TC_01_GMN_VLM.log,24.39
TC_06_GMN_YOLO_01.log,30.07
TC_10_GMN_VLM_01.log,259.25
VAL_TC_05_GMN_VLM.log,N/A
coba_samping.log,N/A
TC_04_OI_YOLO.log,24.1
TC_07_OA_VLM.log,157.27
TC_13_OA_02.log,N/A
TC_09_GMN_YOLO_01.log,N/A
TC_09_GMN_YOLO.log,105.88
TC_05_OA_YOLO.log,315.01
TC_05_GMN_YOLO.log,118.81
TC_11_VLM_02.log,116.7
TC_09_OA_VLM_01.log,78.16
TC_04_OI_VLM.log,24.89
TC_13_GMN_TRY.log,N/A
TC_04_GMN_VLM.log,24.83
TC_11_VLM_01.log,110.61
TC_03_OI_VLM.log,24.52
TC_02_GMN_VLM.log,24.29
TC_03_GMN_YOLO.log,24.25
TC_07_OA_YOLO.log,N/A
TC_02_OA_YOLO.log,24.25
